0,1,2,3,4,5,6,7,8
000417,合百集团,2.7,0.0395,0.1597,0.9917270108982457,0.3457356,0.7251895476999999,0.64
000419,通程控股,2.95,0.049100000000000005,0.1654,0.9836132197075886,0.2248944,0.6628484346000001,0.696
000420,吉林化纤,0.79,0.0337,1.1347,1.001060084495288,0.3262792,0.5925414206,0.732
000421,南京公用,-0.32,0.0313,-1.8761,0.9990102603872205,0.223180666667,0.5221027467,0.6559999999999999
000422,湖北宜化,-0.5,0.0108,0.1285,0.99827684629325,0.311466,0.5945751741,0.716
000423,东阿阿胶,1.54,0.013600000000000001,0.2291,0.9902641106040623,0.268916,0.7312162637999999,0.74
000425,徐工机械,1.95,0.0123,0.1484,0.9936664197940382,0.3324568,0.7599797594000001,0.852
000426,兴业银锡,0.0,0.013000000000000001,0.1286,0.9874935536298804,0.2934632,0.6997544936,0.7120000000000001
000428,华天酒店,2.27,0.0216,-0.2164,0.9910153648768987,0.2405876,0.595411033,0.66
000429,粤高速Ａ,2.58,0.0095,0.1968,0.9881034346988437,0.1598992,0.7389008114000001,0.68
000430,张家界,1.59,0.055099999999999996,-0.3293,0.9996088681242166,0.242692,0.5673365666,0.7120000000000001
000488,ST晨鸣,2.97,0.12300000000000001,-0.0646,0.9567075734740385,0.237445686275,0.5916214258,0.8440000000000001
000498,山东路桥,-1.04,0.009300000000000001,0.0461,1.0031321211643978,0.2099276,0.650233116,0.696
000501,武商集团,4.87,0.0479,0.4103,0.9802478094737259,0.321558,0.6902547039,0.608
000503,国新健康,-1.5,0.0281,-2.8111,0.9998703325631134,0.287004,0.6166904988,0.8
000504,南华生物,2.3,0.0349,-2.7544999999999997,1.000803579315171,0.2950624,0.6015580751,0.616
000505,京粮控股,1.51,0.014499999999999999,1.1822,0.9968926614453643,0.1961532,0.5971802032,0.688
000506,*ST中润,-4.97,0.0723,-0.4587,1.0416503738269813,0.3598136,0.5521958921,0.772
000507,珠海港,0.0,0.0070999999999999995,0.1436,0.9966132569173038,0.2778104,0.5899183282,0.672
000509,华塑控股,-0.3,0.0095,-2.1995,0.9964421001967358,0.1004432,0.5603464051,0.624
000510,新金路,1.07,0.0288,-0.5359,0.98951518408939,0.2824612,0.5979872637,0.64
000513,丽珠集团,0.61,0.0083,0.1414,0.998774662653786,0.2057084,0.674471248,0.716
000514,渝 开 发,1.65,0.0281,-0.6001,0.9970725691208332,0.3413364,0.6609252657,0.6759999999999999
000516,国际医学,-2.38,0.027000000000000003,-0.4907,1.0073645771644952,0.3078016,0.6155304773,0.88
000517,荣安地产,-0.5,0.0124,0.1509,1.004429544440796,0.273166,0.6195768154,0.6679999999999999
000518,四环生物,-0.8,0.0178,-1.3048,0.9969106566064777,0.2423224,0.5362484777000001,0.6679999999999999
000519,中兵红箭,-0.32,0.0171,-2.741,0.9943105332185442,0.2480444,0.6285460552,0.752
000520,凤凰航运,-0.81,0.0232,-1.6912,1.0049560798473578,0.2078164,0.5536052539,0.68
000521,长虹美菱,1.77,0.0384,0.1175,0.9935556982044609,0.3772592,0.7424553308999999,0.728
000523,红棉股份,1.29,0.0106,0.7018000000000001,0.994138084326433,0.204986,0.6137619614,0.6679999999999999
000524,岭南控股,0.72,0.015300000000000001,0.3628,0.999044163878996,0.1933712,0.6483034501,0.7040000000000001
000525,ST红太阳,3.66,0.031200000000000002,2.06,0.9874337731342756,0.353841333333,0.529667031,0.664
000526,学大教育,1.67,0.0269,0.2594,0.99873747205082,0.279994,0.7432666947,0.696
000528,柳    工,1.61,0.030699999999999998,0.13720000000000002,1.0020115006363712,0.370174,0.7686421633,0.8640000000000001
000529,广弘控股,-0.33,0.0431,0.3154,0.996026072738336,0.314754,0.6298400485,0.812
000530,冰山冷热,9.96,0.1472,0.4132,0.9726905184975728,0.4468124,0.7165750398,0.696
000531,穗恒运Ａ,0.97,0.0143,0.2658,1.0066691665382401,0.2647156,0.6437687802000001,0.632
000532,华金资本,-2.07,0.0492,1.1467,1.0056747970608209,0.1981776,0.6011518740999999,0.8320000000000001
000533,顺钠股份,-3.69,0.08810000000000001,0.4935,1.0089363560072164,0.2455992,0.5995866378,0.7879999999999999
000534,万泽股份,4.95,0.0385,0.43320000000000003,0.9800646736108806,0.3637356,0.7334475064,0.66
000536,华映科技,-7.12,0.12890000000000001,-0.14029999999999998,1.0233338541031358,0.2874328,0.5575070748000001,0.956
000537,中绿电,-0.36,0.0048,0.1414,0.9994209113055089,0.2753892,0.6618343609,0.7
000538,云南白药,0.4,0.004699999999999999,0.171,0.9974053386837584,0.292794,0.6917058978,0.732
000539,粤电力Ａ,-0.66,0.0069,0.1213,0.9961619070754425,0.2804732,0.5926906709,0.716
000541,佛山照明,0.97,0.023399999999999997,0.2869,0.99692360012096,0.2803164,0.6510922919,0.696
000543,皖能电力,0.13,0.019,0.0799,0.9996022103924731,0.3835752,0.6935433544999999,0.7
000544,中原环保,0.0,0.005699999999999999,0.0625,0.9983850930208433,0.1884604,0.6267396481,0.66
